Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-69.9269,Tx-R-D-R-T-T-R-Rx,8,"-1.00000 1.00000 6.00000, 3.07518 1.00000 7.41959, 3.11275 1.00000 7.40651, 3.63936 1.00000 6.33660, 5.15076 1.00000 9.40729, 5.30756 1.00000 9.72585, 5.47639 1.00000 10.06890, 5.58725 1.00000 9.84364"
1,-70.0569,Tx-D-T-R-T-R-R-Rx,8,"-1.00000 1.00000 6.00000, 5.60166 1.00008 7.28516, 5.51836 1.00008 7.58997, 5.15071 1.00010 8.93516, 5.36682 1.00011 9.72585, 5.46057 1.00011 10.06890, 5.55442 1.00012 9.72551, 5.58725 1.00000 9.84364"
1,-70.419,Tx-D-R-T-R-T-Rx,7,"-1.00000 1.00000 6.00000, 5.16344 1.00176 7.59025, 5.28423 1.00129 6.33660, 5.40500 1.00083 7.59020, 5.60468 1.00007 9.66275, 5.59864 1.00004 9.72541, 5.58725 1.00000 9.84364"
1,-70.7845,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.60020 1.00000 7.58980, 5.58998 1.00000 9.72543, 5.58833 1.00000 10.06890, 5.58725 1.00000 9.84364"
1,-71.0704,Tx-D-R-T-T-Rx,6,"-1.00000 1.00000 6.00000, 5.59647 1.00000 6.69224, 5.59562 0.99999 6.33660, 5.59263 1.00000 7.58981, 5.58753 1.00000 9.72544, 5.58725 1.00000 9.84364"
1,-71.1462,Tx-R-D-T-R-T-R-Rx,8,"-1.00000 1.00000 6.00000, -5.65853 1.00000 6.37610, 5.60166 1.00000 7.28516, 5.48895 1.00000 7.59003, 5.15072 1.00000 8.50487, 5.60197 1.00000 9.72541, 5.61647 1.00000 9.76462, 5.58725 1.00000 9.84364"
1,-71.2055,Tx-R-D-R-T-T-Rx,7,"-1.00000 1.00000 6.00000, -0.37061 1.30327 7.40635, 2.06380 2.47627 1.96680, 2.07285 2.47248 1.94646, 5.15071 1.18290 8.86270, 5.53471 1.02202 9.72556, 5.58725 1.00000 9.84364"
1,-71.3823,Tx-R-D-R-T-T-Rx,7,"-1.00000 1.00000 6.00000, -0.27595 0.99485 7.40635, 1.21314 0.98425 4.51405, 2.28156 0.98810 1.96885, 5.15071 0.99843 8.80372, 5.53768 0.99982 9.72554, 5.58725 1.00000 9.84364"
1,-71.4796,Tx-D-R-T-T-Rx,6,"-1.00000 1.00000 6.00000, 5.59647 1.00000 6.92688, 5.59514 0.99999 6.33660, 5.59232 1.00000 7.58982, 5.58752 1.00000 9.72544, 5.58725 1.00000 9.84364"
1,-71.5743,Tx-D-T-R-T-R-R-Rx,8,"-1.00000 1.00000 6.00000, 5.60404 1.00024 7.52555, 5.58202 1.00024 7.58984, 5.15071 1.00013 8.84903, 5.45100 1.00005 9.72573, 5.56854 1.00002 10.06890, 5.61647 1.00001 9.92893, 5.58725 1.00000 9.84364"
1,-71.5833,Tx-D-R-T-T-Rx,6,"-1.00000 1.00000 6.00000, 2.44539 1.00013 7.40513, 3.17911 1.00010 6.33660, 5.15079 1.00002 9.20801, 5.50621 1.00000 9.72561, 5.58725 1.00000 9.84364"
1,-71.7081,Tx-R-D-R-T-T-R-R-Rx,9,"-1.00000 1.00000 6.00000, 2.41091 1.00014 7.41959, 2.44356 1.00014 7.40600, 3.12477 1.00011 6.33660, 5.15075 1.00002 9.51712, 5.28371 1.00002 9.72585, 5.50221 1.00001 10.06890, 5.61647 1.00000 9.88950, 5.58725 1.00000 9.84364"
1,-72.3566,Tx-R-D-R-R-T-T-R-Rx,9,"-1.00000 1.00000 6.00000, 3.07361 0.22009 7.41959, 3.11383 0.21239 7.40558, 3.38887 0.09976 6.84664, 3.63985 0.20253 6.33660, 5.15077 0.82126 9.40708, 5.30758 0.88547 9.72574, 5.47642 0.95461 10.06890, 5.58725 1.00000 9.84364"
1,-72.5102,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 3.09087 1.00000 6.33660, 5.15072 1.00000 9.16419, 5.55962 1.00000 9.72550, 5.61647 1.00000 9.80353, 5.58725 1.00000 9.84364"
2,-58.9496,Tx-D-T-T-Rx,5,"-1.00000 1.00000 6.00000, 5.60442 1.00020 7.52618, 5.59022 1.00020 7.58982, 5.15074 1.00002 9.55915, 5.08725 1.00000 9.84364"
2,-59.4474,Tx-R-D-R-Rx,5,"-1.00000 1.00000 6.00000, 3.07518 1.00000 7.41959, 3.11275 1.00000 7.40651, 3.57431 1.00000 6.33660, 5.08725 1.00000 9.84364"
2,-60.2054,Tx-D-T-T-Rx,5,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.54039 1.00000 7.58992, 5.15075 1.00000 9.52785, 5.08725 1.00000 9.84364"
2,-60.2814,Tx-R-D-R-Rx,5,"-1.00000 1.00000 6.00000, 3.07345 1.00002 7.41959, 3.11391 1.00002 7.40549, 3.57486 1.00002 6.33660, 5.08725 1.00000 9.84364"
2,-61.8847,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 5.60442 1.00019 7.52618, 5.59254 1.00019 7.58982, 5.19343 1.00004 9.72586, 5.12934 1.00002 10.06890, 5.08725 1.00000 9.84364"
2,-62.4184,Tx-R-D-R-R-Rx,6,"-1.00000 1.00000 6.00000, 3.07518 0.99999 7.41959, 3.11275 0.99999 7.40651, 3.60399 0.99999 6.33660, 5.15073 0.99999 9.70535, 5.08725 1.00000 9.84364"
2,-62.8817,Tx-D-T-T-Rx,5,"-1.00000 1.00000 6.00000, 5.60404 1.00022 7.52555, 5.58971 1.00021 7.58982, 5.15074 1.00003 9.55885, 5.08725 1.00000 9.84364"
2,-62.9861,Tx-R-D-R-R-Rx,6,"-1.00000 1.00000 6.00000, 3.07345 1.00002 7.41959, 3.11391 1.00002 7.40549, 3.60452 1.00001 6.33660, 5.15073 0.99999 9.70531, 5.08725 1.00000 9.84364"
2,-62.9962,Tx-R-D-R-T-T-Rx,7,"-1.00000 1.00000 6.00000, 2.41091 1.00009 7.41959, 2.44356 1.00009 7.40600, 3.21022 1.00006 5.72291, 3.44044 1.00005 6.22830, 3.48977 1.00005 6.33660, 5.08725 1.00000 9.84364"
