Rx_Number,Path_Power,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
2,-46.2231,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70610 0.28101 5.26216, -1.67951 0.78875 7.40635, -0.24139 1.50000 4.40264"
2,-46.6475,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.92337 4.69154, -0.24139 1.50000 4.40264"
2,-46.667,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.39468 0.70277 4.69277, -0.24139 1.50000 4.40264"
2,-47.3357,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -5.28096 0.37212 6.63927, -5.65853 0.44561 6.88497, -4.85730 0.60156 7.40635, -0.24139 1.50000 4.40264"
2,-47.4133,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.93748 0.28298 5.14197, -5.28096 0.37212 6.63974, -5.65853 0.44561 6.88541, -4.85788 0.60145 7.40635, -0.24139 1.50000 4.40264"
2,-47.5959,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30878 0.28993 4.96820, -2.71154 0.28298 5.21575, -5.65853 0.71178 7.04590, -5.07811 0.79624 7.40635, -0.24139 1.50000 4.40264"
2,-48.503,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.70683 0.24470 5.23805, -2.77697 0.20311 5.37725, -2.60267 0.09976 5.72321, -1.75469 0.60262 7.40635, -0.24139 1.50000 4.40264"
2,-49.779,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30578 0.40210 5.00805, -5.65853 0.82183 7.07326, -5.11777 0.88953 7.40635, -0.24139 1.50000 4.40264"
2,-49.8256,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.28052 0.50784 4.84209, -1.01008 3.02001 4.56830, -0.24139 1.50000 4.40264"
2,-50.5068,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.28096 0.37212 4.70464, -5.48989 0.41530 4.69308, -0.24139 1.50000 4.40264"
2,-50.6219,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.77697 0.14132 5.40289, -2.70387 0.09976 5.54725, -1.76244 0.63509 7.40635, -0.24139 1.50000 4.40264"
2,-50.6678,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.93748 0.28298 4.83168, -5.28096 0.37212 4.70460, -5.48989 0.41530 4.69304, -0.24139 1.50000 4.40264"
2,-50.896,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30848 0.30597 4.96835, -5.65853 0.76223 7.04770, -5.08070 0.84092 7.40635, -0.24139 1.50000 4.40264"
2,-51.1507,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30943 0.25618 4.96797, -2.92412 0.13187 5.34367, -5.65853 0.59080 7.04317, -5.07420 0.68888 7.40635, -0.24139 1.50000 4.40264"
2,-51.3606,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70610 0.24568 5.27015, -1.68175 0.76699 7.40635, -0.24139 1.50000 4.40264"
2,-51.3792,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.96197 4.69115, -0.24139 1.50000 4.40264"
2,-51.3845,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70683 0.28199 5.26325, -1.68024 0.78917 7.40635, -0.24139 1.50000 4.40264"
2,-51.4633,Tx-R-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30935 0.26060 4.96963, -3.21256 0.09976 5.53017, -5.65853 0.53533 7.04816, -5.08136 0.63811 7.40635, -0.24139 1.50000 4.40264"
2,-51.7702,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30208 0.38789 5.00313, -2.99835 0.28298 5.43223, -5.65853 0.68379 7.07163, -5.11539 0.76563 7.40635, -0.24139 1.50000 4.40264"
2,-52.371,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.29016 0.33551 5.75729, -2.30107 0.34408 5.82916, -5.32213 0.74206 7.40635, -5.65853 0.78638 7.23073, -0.24139 1.50000 4.40264"
2,-52.5883,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30861 0.28984 4.84670, -2.70882 0.28271 4.82514, -5.34546 0.87047 4.67964, -0.24139 1.50000 4.40264"
2,-53.3204,Tx-R-R-D-Rx,5,"-2.48996 0.30000 4.85594, -5.65853 0.47552 6.83615, -4.74614 0.52605 7.40635, -2.29082 0.66206 5.87189, -0.24139 1.50000 4.40264"
2,-53.6677,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -3.08873 0.09976 5.20757, -3.52000 0.24398 5.46084, -5.65853 0.59948 6.86165, -4.82697 0.73772 7.40635, -0.24139 1.50000 4.40264"
2,-53.7188,Tx-R-R-R-D-Rx,6,"-2.48996 0.30000 4.85594, -2.77094 0.28298 5.03159, -5.65853 0.45793 6.83673, -4.74734 0.51314 7.40635, -2.29073 0.66197 5.87064, -0.24139 1.50000 4.40264"
2,-53.719,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.96519 0.28298 5.18835, -5.27454 0.36570 6.80363, -4.43338 0.55527 7.40635, -0.24139 1.50000 4.40264"
2,-53.7505,Tx-R-D-R-R-R-Rx,7,"-2.48996 0.30000 4.85594, -2.30902 0.27771 4.96804, -2.70882 0.24398 5.21312, -3.49014 0.09976 5.69842, -5.65853 0.50003 7.04529, -5.07723 0.60734 7.40635, -0.24139 1.50000 4.40264"
2,-53.8506,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.27454 0.36570 6.80317, -4.43285 0.55539 7.40635, -0.24139 1.50000 4.40264"
2,-54.1966,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30830 0.30600 4.84678, -5.39468 0.75325 4.68041, -0.24139 1.50000 4.40264"
2,-54.3129,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -2.96519 0.28298 4.82881, -5.27454 0.36570 4.69698, -0.24139 1.50000 4.40264"
2,-54.4631,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.27454 0.36570 4.69702, -0.24139 1.50000 4.40264"
2,-54.4998,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -3.18058 0.09976 5.27627, -3.29132 0.13187 5.34367, -5.65853 0.54792 6.88435, -4.85650 0.68888 7.40635, -0.24139 1.50000 4.40264"
2,-54.5217,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.77697 0.15465 5.34367, -2.68131 0.09976 5.53479, -1.74466 0.63730 7.40635, -0.24139 1.50000 4.40264"
2,-54.8099,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30936 0.25986 4.96906, -3.01203 0.13187 5.40289, -5.65853 0.58089 7.04626, -5.07863 0.67928 7.40635, -0.24139 1.50000 4.40264"
2,-54.9042,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30371 0.40869 5.83301, -5.31903 0.78382 7.40635, -5.65853 0.82606 7.22921, -0.24139 1.50000 4.40264"
2,-55.2754,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30864 0.29762 4.96786, -5.28096 0.37212 6.79073, -5.65853 0.44561 7.02656, -5.05046 0.56397 7.40635, -0.24139 1.50000 4.40264"
2,-55.3878,Tx-R-D-R-R-R-Rx,7,"-2.48996 0.30000 4.85594, -2.30946 0.25443 4.96777, -2.92566 0.12393 5.34367, -3.06396 0.09976 5.42964, -5.65853 0.55322 7.04254, -5.07329 0.65551 7.40635, -0.24139 1.50000 4.40264"
2,-56.3616,Tx-R-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30919 0.25936 4.84688, -3.17165 0.09976 4.80142, -5.48989 0.52875 4.67924, -0.24139 1.50000 4.40264"
2,-56.5309,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.29742 0.38360 4.75519, -2.94203 0.28298 4.72826, -5.48989 0.68070 4.62184, -0.24139 1.50000 4.40264"
2,-56.6576,Tx-R-R-D-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30481 0.39799 5.00882, -5.65853 0.37221 7.04709, -5.64651 0.37212 7.05439, -5.07959 0.49042 7.40635, -0.24139 1.50000 4.40264"
2,-56.8227,Tx-R-R-D-R-R-Rx,7,"-2.48996 0.30000 4.85594, -2.30924 0.26616 4.96899, -3.43628 0.09976 5.66491, -5.28096 0.37212 6.80395, -5.65853 0.44561 7.03891, -5.06809 0.56054 7.40635, -0.24139 1.50000 4.40264"
2,-56.8652,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.78615 0.21121 5.34367, -3.39732 0.09976 5.71720, -5.65853 0.51212 7.09921, -5.15599 0.60376 7.40635, -0.24139 1.50000 4.40264"
2,-57.0474,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.35641 1.76629 4.68098, -0.24139 1.50000 4.40264"
2,-57.3407,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.32779 0.09976 5.66008, -2.29487 0.14041 5.82332, -5.32540 0.60965 7.40635, -5.65853 0.66123 7.23234, -0.24139 1.50000 4.40264"
3,-38.1031,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -5.65853 0.77024 7.02646, -5.10396 0.85254 7.40635, -0.74116 1.50000 4.41777"
