Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
88,0.0000,Tx-Rx,0,-81.5091,"0.15000 -4.90000 1.10000, -1.75000 -7.55000 0.10000"
89,0.0000,Tx-Rx,0,-82.5799,"0.15000 -4.90000 1.10000, -1.45000 -7.55000 0.10000"
90,0.0000,Tx-Rx,0,-84.3860,"0.15000 -4.90000 1.10000, -1.15000 -7.55000 0.10000"
91,0.0000,Tx-Rx,0,-85.1023,"0.15000 -4.90000 1.10000, -0.85000 -7.55000 0.10000"
92,0.0000,Tx-Rx,0,-78.8866,"0.15000 -4.90000 1.10000, -0.55000 -7.55000 0.10000"
93,0.0000,Tx-Rx,0,-77.4530,"0.15000 -4.90000 1.10000, -0.25000 -7.55000 0.10000"
94,0.0000,Tx-Rx,0,-60.2915,"0.15000 -4.90000 1.10000, 0.05000 -7.55000 0.10000"
95,0.0000,Tx-Rx,0,-79.8150,"0.15000 -4.90000 1.10000, 0.35000 -7.55000 0.10000"
96,0.0000,Tx-Rx,0,-60.4902,"0.15000 -4.90000 1.10000, 0.65000 -7.55000 0.10000"
97,0.0000,Tx-Rx,0,-54.0323,"0.15000 -4.90000 1.10000, 0.95000 -7.55000 0.10000"
98,0.0000,Tx-Rx,0,-53.2626,"0.15000 -4.90000 1.10000, 1.25000 -7.55000 0.10000"
99,0.0000,Tx-Rx,0,-52.2257,"0.15000 -4.90000 1.10000, 1.55000 -7.55000 0.10000"
100,0.0000,Tx-Rx,0,-50.9618,"0.15000 -4.90000 1.10000, 1.85000 -7.55000 0.10000"
101,0.0000,Tx-Rx,0,-50.3784,"0.15000 -4.90000 1.10000, 2.15000 -7.55000 0.10000"
102,0.0000,Tx-Rx,0,-46.0686,"0.15000 -4.90000 1.10000, 2.45000 -7.55000 0.10000"
103,0.0000,Tx-Rx,0,-55.0775,"0.15000 -4.90000 1.10000, 2.75000 -7.55000 0.10000"
104,0.0000,Tx-Rx,0,-56.0420,"0.15000 -4.90000 1.10000, 3.05000 -7.55000 0.10000"
105,0.0000,Tx-Rx,0,-58.6095,"0.15000 -4.90000 1.10000, 3.35000 -7.55000 0.10000"
